Estado,id,Município,Projetos,C. Média,C.Mediana,PIB,EXP,PROJ*PIB,PROJ*EXP
São Paulo,3518800,Guarulhos,8,"1,3","1,0",65.153.543,2.138.651.635,,
São Paulo,3542107,Rafard,8,"1,0","1,0",326.687,60.188.660,,
São Paulo,3516200,Franca,7,"2,7","1,0",10.171.912,137.136.742,,
São Paulo,3515152,Engenheiro Coelho,7,"2,3","1,0",535.309,3.948.390,,
São Paulo,3530706,Mogi Guaçu,6,"2,2","1,0",5.769.692,310.910.308,,
São Paulo,3534401,Osasco,6,"2,2","1,5",81.908.401,92.948.240,,
São Paulo,3501905,Amparo,6,"2,0","2,0",4.238.764,135.883.325,,
São Paulo,3502804,Araçatuba,6,"1,8","1,5",7.880.168,52.918.105,,
São Paulo,3507605,Bragança Paulista,6,"1,2","1,0",6.494.155,88.352.798,,
São Paulo,3557105,Votuporanga,6,"1,2","1,0",3.075.156,9.798.325,,
São Paulo,3524709,Jaguariúna,5,"2,6","3,0",12.010.664,29.778.452,,
São Paulo,3501608,Americana,5,"2,2","1,0",11.861.436,182.775.307,,
São Paulo,3530508,Mococa,5,"2,0","1,0",2.246.444,16.344.468,,
São Paulo,3519071,Hortolândia,5,"1,8","1,0",14.738.378,56.083.345,,
São Paulo,3524402,Jacareí,5,"1,6","1,0",13.402.133,787.512.210,,
São Paulo,3500105,Adamantina,4,"3,8","3,0",1.191.134,20.915.822,,
São Paulo,3541406,Presidente Prudente,4,"3,0","2,0",8.395.327,52.222.305,,
São Paulo,3523909,Itu,4,"3,0","3,0",8.776.791,206.646.892,,
São Paulo,3548005,Santo Antônio de Posse,4,"1,8","1,0",1.231.769,101.847.673,,
São Paulo,3504008,Assis,4,"1,5","1,0",3.543.062,10.041.160,,
São Paulo,3510401,Capivari,4,"1,5","1,5",2.182.307,33.452.516,,
São Paulo,3550605,São Roque,4,"1,3","1,0",3.156.977,11.462.664,,
São Paulo,3543303,Ribeirão Pires,4,"1,0","1,0",3.150.964,137.862.196,,
São Paulo,3544004,Rio das Pedras,3,"5,3","5,0",1.377.364,47.508.771,,
São Paulo,3538006,Pindamonhangaba,3,"3,7","3,0",8.473.807,575.477.939,,
São Paulo,3523404,Itatiba,3,"3,3","4,0",6.397.776,139.010.065,,
São Paulo,3515707,Ferraz de Vasconcelos,3,"3,0","1,0",3.315.025,15.138.293,,
São Paulo,3529005,Marília,3,"2,7","2,0",8.398.608,35.760.795,,
São Paulo,3504107,Atibaia,3,"2,0","1,0",6.930.067,104.985.107,,
São Paulo,3544202,Riolândia,3,"2,0","1,0",220.387,0,,
São Paulo,3552502,Suzano,3,"2,0","1,0",12.067.608,574.480.439,,
São Paulo,3551504,Serrana,3,"1,7","1,0",1.016.612,31.536.416,,
São Paulo,3511102,Catanduva,3,"1,0","1,0",4.365.998,182.426.482,,
São Paulo,3518305,Guararema,3,"1,0","1,0",1.490.963,12.484.010,,
São Paulo,3522604,Itapira,3,"1,0","1,0",3.850.784,23.584.409,,
São Paulo,3538600,Piracaia,3,"1,0","1,0",543.685,1.822.898,,
São Paulo,3539806,Poá,3,"1,0","1,0",4.482.510,22.802.366,,
São Paulo,3552403,Sumaré,3,"1,0","1,0",14.913.287,462.800.600,,
São Paulo,3552809,Taboão da Serra,3,"1,0","1,0",8.820.891,39.523.143,,
São Paulo,3507902,Brotas,2,"4,5","4,5",962.269,59.306.478,,
São Paulo,3501152,Alumínio,2,"4,0","4,0",2.306.521,151.566.902,,
São Paulo,3509601,Campo Limpo Paulista,2,"3,0","3,0",2.145.809,201.839.085,,
São Paulo,3510609,Carapicuíba,2,"3,0","3,0",6.160.192,27.244.091,,
São Paulo,3516705,Garça,2,"3,0","3,0",1.175.762,57.768.398,,
São Paulo,3527207,Lorena,2,"3,0","3,0",2.923.506,66.920.339,,
São Paulo,3531407,Monte Aprazível,2,"2,5","2,5",673.475,622.240,,
São Paulo,3524907,Jambeiro,2,"2,0","2,0",256.989,14.460.430,,
São Paulo,3535606,Paraibuna,2,"2,0","2,0",298.417,0,,
São Paulo,3528403,Mairinque,2,"1,5","1,5",1.956.001,30.557.779,,
São Paulo,3538105,Pindorama,2,"1,5","1,5",373.917,8.651.364,,
São Paulo,3551009,São Vicente,2,"1,5","1,5",5.557.201,8.080.684,,
São Paulo,3502754,Araçariguama,2,"1,0","1,0",3.451.347,130.026.163,,
São Paulo,3503703,Ariranha,2,"1,0","1,0",877.119,0,,
São Paulo,3503802,Artur Nogueira,2,"1,0","1,0",1.274.147,14.340.701,,
São Paulo,3503901,Arujá,2,"1,0","1,0",6.489.059,51.442.192,,
São Paulo,3511706,Charqueada,2,"1,0","1,0",376.524,459.844,,
São Paulo,3514106,Dois Córregos,2,"1,0","1,0",686.124,11.620.554,,
São Paulo,3522307,Itapetininga,2,"1,0","1,0",4.905.433,75.306.015,,
São Paulo,3524006,Itupeva,2,"1,0","1,0",7.374.829,259.903.156,,
São Paulo,3525003,Jandira,2,"1,0","1,0",4.159.068,27.920.508,,
São Paulo,3525201,Jarinu,2,"1,0","1,0",2.524.225,17.676.175,,
São Paulo,3529401,Mauá,2,"1,0","1,0",16.284.223,161.019.461,,
São Paulo,3534302,Orlândia,2,"1,0","1,0",1.903.712,63.189.644,,
São Paulo,3536307,Patrocínio Paulista,2,"1,0","1,0",991.953,35.745.325,,
São Paulo,3542602,Registro,2,"1,0","1,0",2.096.319,101.813,,
São Paulo,3549409,São Joaquim da Barra,2,"1,0","1,0",1.642.035,44.503.903,,
São Paulo,3552106,Socorro,2,"1,0","1,0",894.752,11.107.124,,
São Paulo,3553658,Taquaral,2,"1,0","1,0",38.571,0,,
São Paulo,3551108,Sarapuí,1,"5,0","5,0",162.276,336.340,,
São Paulo,3511508,Cerquilho,1,"4,0","4,0",1.935.492,62.824.446,,
São Paulo,3533403,Nova Odessa,1,"4,0","4,0",3.893.235,101.239.178,,
São Paulo,3540002,Pompéia,1,"4,0","4,0",1.308.471,93.910.740,,
São Paulo,3551603,Serra Negra,1,"4,0","4,0",742.511,48.772,,
São Paulo,3556404,Vargem Grande do Sul,1,"4,0","4,0",1.032.998,278.815,,
São Paulo,3504503,Avaré,1,"2,0","2,0",2.746.956,43.009.428,,
São Paulo,3507803,Brodowski,1,"2,0","2,0",709.509,777.830,,
São Paulo,3515186,Espírito Santo do Pinhal,1,"2,0","2,0",1.533.274,49.934.114,,
São Paulo,3557303,Estiva Gerbi,1,"2,0","2,0",319.971,2.595.026,,
São Paulo,3537503,Pereiras,1,"2,0","2,0",241.771,0,,
São Paulo,3553955,Tarumã,1,"2,0","2,0",741.563,37.063.994,,
São Paulo,3555406,Ubatuba,1,"2,0","2,0",2.384.242,23.551,,
São Paulo,3501400,Álvaro de Carvalho,1,"1,0","1,0",50.648,0,,
São Paulo,3501806,Américo de Campos,1,"1,0","1,0",102.165,0,,
São Paulo,3502200,Angatuba,1,"1,0","1,0",1.062.935,9.179.014,,
São Paulo,3505906,Batatais,1,"1,0","1,0",1.906.258,57.271.913,,
São Paulo,3507001,Boituva,1,"1,0","1,0",2.854.010,83.643.275,,
São Paulo,3509007,Caieiras,1,"1,0","1,0",3.912.607,457.878.605,,
São Paulo,3509254,Cajati,1,"1,0","1,0",1.389.533,24.315.462,,
São Paulo,3509403,Cajuru,1,"1,0","1,0",615.946,7.303.414,,
São Paulo,3513702,Descalvado,1,"1,0","1,0",1.629.218,23.162.867,,
São Paulo,3514601,Dumont,1,"1,0","1,0",256.472,11.234.706,,
São Paulo,3516309,Francisco Morato,1,"1,0","1,0",1.589.033,8.550,,
São Paulo,3520426,Ilha Comprida,1,"1,0","1,0",1.045.503,0,,
São Paulo,3520442,Ilha Solteira,1,"1,0","1,0",654.951,0,,
São Paulo,3520400,Ilhabela,1,"1,0","1,0",14.965.490,2.975.001.005,,
São Paulo,3521002,Iperó,1,"1,0","1,0",684.198,10.962.646,,
São Paulo,3521101,Ipeúna,1,"1,0","1,0",687.092,8.839.537,,
São Paulo,3522208,Itapecerica da Serra,1,"1,0","1,0",3.881.276,28.540.795,,
São Paulo,3522406,Itapeva,1,"1,0","1,0",2.969.803,50.866.289,,
São Paulo,3523206,Itararé,1,"1,0","1,0",947.263,1.497.905,,
São Paulo,3523701,Itirapuã,1,"1,0","1,0",103.757,0,,
São Paulo,3526209,Juquitiba,1,"1,0","1,0",547.626,147.540,,
São Paulo,3526704,Leme,1,"1,0","1,0",3.377.382,313.913.314,,
São Paulo,3526803,Lençóis Paulista,1,"1,0","1,0",3.077.313,180.264.242,,
São Paulo,3529302,Matão,1,"1,0","1,0",3.961.591,979.667.299,,
São Paulo,3530300,Mirassol,1,"1,0","1,0",1.939.816,5.731.537,,
São Paulo,3531308,Monte Alto,1,"1,0","1,0",2.010.940,9.762.411,,
São Paulo,3531803,Monte Mor,1,"1,0","1,0",3.501.214,101.998.562,,
São Paulo,3535002,Palestina,1,"1,0","1,0",363.497,0,,
São Paulo,3537107,Pedreira,1,"1,0","1,0",1.317.533,24.828.894,,
São Paulo,3540606,Porto Feliz,1,"1,0","1,0",2.997.482,67.760.141,,
São Paulo,3541000,Praia Grande,1,"1,0","1,0",7.619.853,184.834,,
São Paulo,3542206,Rancharia,1,"1,0","1,0",1.077.779,28.955.808,,
São Paulo,3545209,Salto,1,"1,0","1,0",7.796.008,132.681.463,,
São Paulo,3547007,Santa Maria da Serra,1,"1,0","1,0",129.880,11.053.579,,
São Paulo,3549102,São João da Boa Vista,1,"1,0","1,0",3.255.312,73.401.400,,
São Paulo,3549953,São Lourenço da Serra,1,"1,0","1,0",232.510,7.404,,
São Paulo,3550100,São Manuel,1,"1,0","1,0",1.125.374,2.673.521,,
São Paulo,3554102,Taubaté,1,"1,0","1,0",17.515.712,694.688.355,,
São Paulo,3555000,Tupã,1,"1,0","1,0",1.930.888,80.542.600,,
São Paulo,3556909,Vista Alegre do Alto,1,"1,0","1,0",331.365,52.195.838,,
